         14009 function calls (14002 primitive calls) in 7.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    7.113    7.113 C:\Users\augus\Documents\GitHub\FAUParkingA\FAUParking\drone_parking_backend\frame processing server\visualize_lot.py:96(visualize_lot)
        1    0.002    0.002    5.948    5.948 C:\Users\augus\Documents\GitHub\FAUParkingA\FAUParking\drone_parking_backend\frame processing server\detect.py:51(detect_cars)
        1    0.000    0.000    5.917    5.917 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\roboflow\models\object_detection.py:126(predict)
        1    0.000    0.000    5.903    5.903 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\api.py:103(post)
        1    0.000    0.000    5.903    5.903 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\api.py:14(request)
        1    0.000    0.000    5.903    5.903 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\sessions.py:500(request)
        1    0.000    0.000    5.902    5.902 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\sessions.py:673(send)
        1    0.000    0.000    5.902    5.902 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\adapters.py:590(send)
        1    0.000    0.000    5.901    5.901 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connectionpool.py:592(urlopen)
        1    0.000    0.000    5.901    5.901 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connectionpool.py:377(_make_request)
        1    0.000    0.000    3.834    3.834 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connection.py:424(request)
        2    0.000    0.000    3.834    1.917 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:1029(send)
        2    0.000    0.000    3.834    1.917 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:1252(sendall)
        2    0.000    0.000    3.834    1.917 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:1225(send)
        2    3.834    1.917    3.834    1.917 {method 'write' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.672    1.672 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connection.py:540(getresponse)
        1    0.000    0.000    1.672    1.672 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:1386(getresponse)
        1    0.000    0.000    1.672    1.672 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:324(begin)
        1    0.000    0.000    1.672    1.672 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:291(_read_status)
       24    0.000    0.000    1.672    0.070 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    1.672    1.672 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\socket.py:706(readinto)
        1    0.000    0.000    1.672    1.672 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:1289(recv_into)
        1    0.000    0.000    1.672    1.672 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:1129(read)
        1    1.672    1.672    1.672    1.672 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.793    0.397    0.793    0.397 {method 'detectAndCompute' of 'cv2.Feature2D' objects}
        1    0.000    0.000    0.669    0.669 C:\Users\augus\Documents\GitHub\FAUParkingA\FAUParking\drone_parking_backend\frame processing server\align.py:14(align_to_master)
        1    0.000    0.000    0.397    0.397 C:\Users\augus\Documents\GitHub\FAUParkingA\FAUParking\drone_parking_backend\frame processing server\align.py:6(precompute_master)
        1    0.000    0.000    0.394    0.394 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.394    0.394 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connection.py:724(connect)
        1    0.000    0.000    0.361    0.361 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connection.py:901(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.361    0.361 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\ssl_.py:413(ssl_wrap_socket)
        1    0.330    0.330    0.330    0.330 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.002    0.002    0.262    0.262 C:\Users\augus\Documents\GitHub\FAUParkingA\FAUParking\drone_parking_backend\frame processing server\align.py:26(attempt_alignment)
        1    0.257    0.257    0.257    0.257 {method 'knnMatch' of 'cv2.DescriptorMatcher' objects}
        2    0.073    0.036    0.073    0.036 {imread}
        1    0.000    0.000    0.032    0.032 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connection.py:198(_new_conn)
        1    0.000    0.000    0.032    0.032 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\connection.py:27(create_connection)
        1    0.032    0.032    0.032    0.032 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.031    0.031 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\ssl_.py:511(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.031    0.031 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:449(wrap_socket)
        1    0.000    0.000    0.031    0.031 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:990(_create)
        1    0.000    0.000    0.031    0.031 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:1365(do_handshake)
        1    0.031    0.031    0.031    0.031 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.003    0.003    0.028    0.028 C:\Users\augus\Documents\GitHub\FAUParkingA\FAUParking\drone_parking_backend\frame processing server\detect.py:27(preprocess)
        1    0.000    0.000    0.013    0.013 C:\Users\augus\Documents\GitHub\FAUParkingA\FAUParking\drone_parking_backend\frame processing server\config.py:9(load_lot)
        1    0.010    0.010    0.010    0.010 {imencode}
        5    0.009    0.002    0.009    0.002 {cvtColor}
        1    0.009    0.009    0.009    0.009 {imwrite}
       33    0.008    0.000    0.008    0.000 {built-in method builtins.print}
        1    0.008    0.008    0.008    0.008 {filter2D}
        1    0.006    0.006    0.006    0.006 {warpPerspective}
        1    0.000    0.000    0.006    0.006 C:\Users\augus\Documents\GitHub\FAUParkingA\FAUParking\drone_parking_backend\frame processing server\visualize_lot.py:17(draw_visualization)
        1    0.004    0.004    0.004    0.004 {split}
       42    0.004    0.000    0.004    0.000 {putText}
        1    0.000    0.000    0.003    0.003 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\base64.py:51(b64encode)
        1    0.003    0.003    0.003    0.003 {built-in method binascii.b2a_base64}
        1    0.003    0.003    0.003    0.003 {merge}
        1    0.003    0.003    0.003    0.003 {findHomography}
        1    0.003    0.003    0.003    0.003 {method 'apply' of 'cv2.CLAHE' objects}
        1    0.001    0.001    0.002    0.002 C:\Users\augus\Documents\GitHub\FAUParkingA\FAUParking\drone_parking_backend\frame processing server\occupancy.py:5(check_occupancy)
        1    0.001    0.001    0.001    0.001 {LUT}
        1    0.000    0.000    0.001    0.001 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\sessions.py:457(prepare_request)
        1    0.001    0.001    0.001    0.001 {method 'copy' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.001    0.001 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\json\__init__.py:274(load)
        1    0.000    0.000    0.001    0.001 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:351(prepare)
7029/7028    0.001    0.000    0.001    0.000 {built-in method builtins.len}
    69/67    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       42    0.000    0.000    0.001    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\fromnumeric.py:3699(mean)
      406    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
       42    0.000    0.000    0.001    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\_methods.py:115(_mean)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\socket.py:960(getaddrinfo)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\ssl_.py:225(create_urllib3_context)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.getaddrinfo}
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\url.py:367(parse_url)
        6    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:245(parse_headers)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:494(prepare_body)
       18    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD75C398A0}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:572(prepare_content_length)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:430(__new__)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:231(_parse_header_lines)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\request.py:197(body_to_chunks)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\parser.py:56(parsestr)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\utils.py:136(super_len)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\util.py:7(to_bytes)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:409(prepare_url)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\parser.py:41(parse)
       21    0.000    0.000    0.000    0.000 {polylines}
